detector,scenario,magnitude,n_streams,n_machines,bootstrap_draws,auc,auc_lo,auc_hi
c2st,correlation_break,0.0,22,11,2000,0.5433,0.4352,0.6495
c2st,gradual_shift,0.5,22,11,2000,0.8392,0.7607,0.9064
c2st,gradual_shift,1.0,22,11,2000,0.8214,0.7345,0.8916
c2st,gradual_shift,2.0,22,11,2000,0.8276,0.7446,0.8958
c2st,gradual_shift,4.0,22,11,2000,0.8417,0.7555,0.9114
c2st,incremental_shift,0.5,22,11,2000,0.843,0.7651,0.9067
c2st,incremental_shift,1.0,22,11,2000,0.8758,0.7948,0.9444
c2st,incremental_shift,2.0,22,11,2000,0.8865,0.787,0.9636
c2st,incremental_shift,4.0,22,11,2000,0.9058,0.8067,0.9815
c2st,sudden_shift,0.5,22,11,2000,0.9252,0.8699,0.9696
c2st,sudden_shift,1.0,22,11,2000,0.9341,0.8733,0.9821
c2st,sudden_shift,2.0,22,11,2000,0.8979,0.8005,0.972
c2st,sudden_shift,4.0,22,11,2000,0.9339,0.8721,0.9833
c2st,variance_shift,0.5,22,11,2000,0.65,0.5376,0.7565
c2st,variance_shift,1.0,22,11,2000,0.7168,0.6254,0.8073
c2st,variance_shift,2.0,22,11,2000,0.7735,0.683,0.8589
c2st,variance_shift,4.0,22,11,2000,0.7379,0.6271,0.8413
c2st_thinned,correlation_break,0.0,22,11,2000,0.4532,0.3507,0.5673
c2st_thinned,gradual_shift,0.5,22,11,2000,0.7152,0.6244,0.809
c2st_thinned,gradual_shift,1.0,22,11,2000,0.7761,0.6982,0.8481
c2st_thinned,gradual_shift,2.0,22,11,2000,0.8104,0.731,0.8799
c2st_thinned,gradual_shift,4.0,22,11,2000,0.8068,0.7542,0.8605
c2st_thinned,incremental_shift,0.5,22,11,2000,0.7344,0.6447,0.82
c2st_thinned,incremental_shift,1.0,22,11,2000,0.7524,0.6795,0.8233
c2st_thinned,incremental_shift,2.0,22,11,2000,0.822,0.749,0.8865
c2st_thinned,incremental_shift,4.0,22,11,2000,0.8606,0.8067,0.9083
c2st_thinned,sudden_shift,0.5,22,11,2000,0.7926,0.6881,0.8858
c2st_thinned,sudden_shift,1.0,22,11,2000,0.8625,0.7965,0.9197
c2st_thinned,sudden_shift,2.0,22,11,2000,0.8511,0.7807,0.9102
c2st_thinned,sudden_shift,4.0,22,11,2000,0.8451,0.7782,0.9077
c2st_thinned,variance_shift,0.5,22,11,2000,0.6501,0.5379,0.7699
c2st_thinned,variance_shift,1.0,22,11,2000,0.6747,0.5609,0.7777
c2st_thinned,variance_shift,2.0,22,11,2000,0.6813,0.5807,0.7792
c2st_thinned,variance_shift,4.0,22,11,2000,0.7268,0.6268,0.8238
iforest_mean,correlation_break,0.0,22,11,2000,0.8571,0.7741,0.9243
iforest_mean,gradual_shift,0.5,22,11,2000,0.9069,0.8354,0.9667
iforest_mean,gradual_shift,1.0,22,11,2000,0.9525,0.9138,0.986
iforest_mean,gradual_shift,2.0,22,11,2000,0.9996,0.999,1.0
iforest_mean,gradual_shift,4.0,22,11,2000,0.9986,0.9968,1.0
iforest_mean,incremental_shift,0.5,22,11,2000,0.8352,0.7392,0.9099
iforest_mean,incremental_shift,1.0,22,11,2000,0.9091,0.8565,0.9572
