detector,false_alarms_per_stream,clean_windows,n_streams
c2st,5.090909090909091,16.0,22
c2st_thinned,4.045454545454546,16.0,22
iforest_mean,3.727272727272727,16.0,22
js_max,6.363636363636363,16.0,22
js_max_thinned,4.7727272727272725,16.0,22
ks_bonferroni,0.0,16.0,22
ks_max,8.181818181818182,16.0,22
ks_max_thinned,6.545454545454546,16.0,22
pca_recon,3.5,16.0,22
psi_max,7.863636363636363,16.0,22
psi_max_thinned,5.136363636363637,16.0,22
random,2.4545454545454546,16.0,22
wasserstein_max,5.954545454545454,16.0,22
wasserstein_max_thinned,4.681818181818182,16.0,22
