detector,scenario,magnitude,saturated,oracle_threshold,achieved_stream_fpr,n_streams,recall,recall_lo,recall_hi
c2st,correlation_break,0.0,True,,,22,,,
c2st,gradual_shift,0.5,True,,,22,,,
c2st,gradual_shift,1.0,True,,,22,,,
c2st,gradual_shift,2.0,True,,,22,,,
c2st,gradual_shift,4.0,True,,,22,,,
c2st,incremental_shift,0.5,True,,,22,,,
c2st,incremental_shift,1.0,True,,,22,,,
c2st,incremental_shift,2.0,True,,,22,,,
c2st,incremental_shift,4.0,True,,,22,,,
c2st,sudden_shift,0.5,True,,,22,,,
c2st,sudden_shift,1.0,True,,,22,,,
c2st,sudden_shift,2.0,True,,,22,,,
c2st,sudden_shift,4.0,True,,,22,,,
c2st,variance_shift,0.5,True,,,22,,,
c2st,variance_shift,1.0,True,,,22,,,
c2st,variance_shift,2.0,True,,,22,,,
c2st,variance_shift,4.0,True,,,22,,,
c2st_thinned,correlation_break,0.0,True,,,22,,,
c2st_thinned,gradual_shift,0.5,True,,,22,,,
c2st_thinned,gradual_shift,1.0,True,,,22,,,
c2st_thinned,gradual_shift,2.0,True,,,22,,,
c2st_thinned,gradual_shift,4.0,True,,,22,,,
c2st_thinned,incremental_shift,0.5,True,,,22,,,
c2st_thinned,incremental_shift,1.0,True,,,22,,,
c2st_thinned,incremental_shift,2.0,True,,,22,,,
c2st_thinned,incremental_shift,4.0,True,,,22,,,
c2st_thinned,sudden_shift,0.5,True,,,22,,,
c2st_thinned,sudden_shift,1.0,True,,,22,,,
c2st_thinned,sudden_shift,2.0,True,,,22,,,
c2st_thinned,sudden_shift,4.0,True,,,22,,,
c2st_thinned,variance_shift,0.5,True,,,22,,,
c2st_thinned,variance_shift,1.0,True,,,22,,,
c2st_thinned,variance_shift,2.0,True,,,22,,,
c2st_thinned,variance_shift,4.0,True,,,22,,,
iforest_mean,correlation_break,0.0,False,0.043104,0.0985,22,0.4091,0.2273,0.5909
iforest_mean,gradual_shift,0.5,False,0.043104,0.0985,22,0.5,0.2727,0.7273
iforest_mean,gradual_shift,1.0,False,0.043104,0.0985,22,0.9545,0.8636,1.0
iforest_mean,gradual_shift,2.0,False,0.043104,0.0985,22,1.0,1.0,1.0
iforest_mean,gradual_shift,4.0,False,0.043104,0.0985,22,1.0,1.0,1.0
iforest_mean,incremental_shift,0.5,False,0.043104,0.0985,22,0.4091,0.2273,0.6364
iforest_mean,incremental_shift,1.0,False,0.043104,0.0985,22,0.5455,0.3182,0.7727
iforest_mean,incremental_shift,2.0,False,0.043104,0.0985,22,0.9091,0.7727,1.0
iforest_mean,incremental_shift,4.0,False,0.043104,0.0985,22,1.0,1.0,1.0
iforest_mean,sudden_shift,0.5,False,0.043104,0.0985,22,0.5,0.2727,0.7273
iforest_mean,sudden_shift,1.0,False,0.043104,0.0985,22,0.7727,0.5909,0.9545
iforest_mean,sudden_shift,2.0,False,0.043104,0.0985,22,1.0,1.0,1.0
iforest_mean,sudden_shift,4.0,False,0.043104,0.0985,22,1.0,1.0,1.0
iforest_mean,variance_shift,0.5,False,0.043104,0.0985,22,0.3182,0.1364,0.5
iforest_mean,variance_shift,1.0,False,0.043104,0.0985,22,0.5,0.2727,0.7273
iforest_mean,variance_shift,2.0,False,0.043104,0.0985,22,0.7727,0.5909,0.9545
iforest_mean,variance_shift,4.0,False,0.043104,0.0985,22,0.9545,0.8636,1.0
js_max,correlation_break,0.0,False,0.967218,0.0833,22,0.0909,0.0,0.2273
js_max,gradual_shift,0.5,False,0.967218,0.0833,22,0.0455,0.0,0.1364
js_max,gradual_shift,1.0,False,0.967218,0.0833,22,0.0909,0.0,0.2273
js_max,gradual_shift,2.0,False,0.967218,0.0833,22,0.0909,0.0,0.2273
js_max,gradual_shift,4.0,False,0.967218,0.0833,22,0.1364,0.0,0.3182
js_max,incremental_shift,0.5,False,0.967218,0.0833,22,0.0909,0.0,0.2273
js_max,incremental_shift,1.0,False,0.967218,0.0833,22,0.2273,0.0455,0.4091
js_max,incremental_shift,2.0,False,0.967218,0.0833,22,0.1364,0.0,0.3182
js_max,incremental_shift,4.0,False,0.967218,0.0833,22,0.5,0.3182,0.7273
js_max,sudden_shift,0.5,False,0.967218,0.0833,22,0.3182,0.1364,0.5
js_max,sudden_shift,1.0,False,0.967218,0.0833,22,0.3636,0.1818,0.5466
js_max,sudden_shift,2.0,False,0.967218,0.0833,22,0.4545,0.2727,0.6818
js_max,sudden_shift,4.0,False,0.967218,0.0833,22,0.8182,0.6364,0.9545
js_max,variance_shift,0.5,False,0.967218,0.0833,22,0.1818,0.0455,0.3636
js_max,variance_shift,1.0,False,0.967218,0.0833,22,0.1364,0.0,0.2727
js_max,variance_shift,2.0,False,0.967218,0.0833,22,0.0909,0.0,0.2273
js_max,variance_shift,4.0,False,0.967218,0.0833,22,0.1818,0.0455,0.3636
js_max_thinned,correlation_break,0.0,False,0.92664,0.0833,22,0.1818,0.0455,0.3636
js_max_thinned,gradual_shift,0.5,False,0.92664,0.0833,22,0.2727,0.0909,0.4545
js_max_thinned,gradual_shift,1.0,False,0.92664,0.0833,22,0.2727,0.0909,0.4545
js_max_thinned,gradual_shift,2.0,False,0.92664,0.0833,22,0.4091,0.2273,0.6364
js_max_thinned,gradual_shift,4.0,False,0.92664,0.0833,22,0.3636,0.1818,0.5455
js_max_thinned,incremental_shift,0.5,False,0.92664,0.0833,22,0.3182,0.1364,0.5455
js_max_thinned,incremental_shift,1.0,False,0.92664,0.0833,22,0.5,0.2727,0.7273
js_max_thinned,incremental_shift,2.0,False,0.92664,0.0833,22,0.4091,0.2273,0.6364
js_max_thinned,incremental_shift,4.0,False,0.92664,0.0833,22,0.5,0.2727,0.7273
js_max_thinned,sudden_shift,0.5,False,0.92664,0.0833,22,0.4091,0.1818,0.592
js_max_thinned,sudden_shift,1.0,False,0.92664,0.0833,22,0.5455,0.3182,0.7727
js_max_thinned,sudden_shift,2.0,False,0.92664,0.0833,22,0.5455,0.3182,0.7727
js_max_thinned,sudden_shift,4.0,False,0.92664,0.0833,22,0.6364,0.4091,0.8182
js_max_thinned,variance_shift,0.5,False,0.92664,0.0833,22,0.4545,0.2273,0.6818
js_max_thinned,variance_shift,1.0,False,0.92664,0.0833,22,0.4545,0.2273,0.6818
js_max_thinned,variance_shift,2.0,False,0.92664,0.0833,22,0.4091,0.2273,0.6364
js_max_thinned,variance_shift,4.0,False,0.92664,0.0833,22,0.3182,0.1364,0.5455
ks_bonferroni,correlation_break,0.0,True,,,22,,,
ks_bonferroni,gradual_shift,0.5,True,,,22,,,
ks_bonferroni,gradual_shift,1.0,True,,,22,,,
ks_bonferroni,gradual_shift,2.0,True,,,22,,,
ks_bonferroni,gradual_shift,4.0,True,,,22,,,
ks_bonferroni,incremental_shift,0.5,True,,,22,,,
ks_bonferroni,incremental_shift,1.0,True,,,22,,,
ks_bonferroni,incremental_shift,2.0,True,,,22,,,
ks_bonferroni,incremental_shift,4.0,True,,,22,,,
ks_bonferroni,sudden_shift,0.5,True,,,22,,,
ks_bonferroni,sudden_shift,1.0,True,,,22,,,
ks_bonferroni,sudden_shift,2.0,True,,,22,,,
ks_bonferroni,sudden_shift,4.0,True,,,22,,,
ks_bonferroni,variance_shift,0.5,True,,,22,,,
ks_bonferroni,variance_shift,1.0,True,,,22,,,
ks_bonferroni,variance_shift,2.0,True,,,22,,,
ks_bonferroni,variance_shift,4.0,True,,,22,,,
ks_max,correlation_break,0.0,True,,,22,,,
ks_max,gradual_shift,0.5,True,,,22,,,
ks_max,gradual_shift,1.0,True,,,22,,,
ks_max,gradual_shift,2.0,True,,,22,,,
ks_max,gradual_shift,4.0,True,,,22,,,
ks_max,incremental_shift,0.5,True,,,22,,,
ks_max,incremental_shift,1.0,True,,,22,,,
ks_max,incremental_shift,2.0,True,,,22,,,
ks_max,incremental_shift,4.0,True,,,22,,,
ks_max,sudden_shift,0.5,True,,,22,,,
ks_max,sudden_shift,1.0,True,,,22,,,
ks_max,sudden_shift,2.0,True,,,22,,,
ks_max,sudden_shift,4.0,True,,,22,,,
ks_max,variance_shift,0.5,True,,,22,,,
ks_max,variance_shift,1.0,True,,,22,,,
ks_max,variance_shift,2.0,True,,,22,,,
ks_max,variance_shift,4.0,True,,,22,,,
ks_max_thinned,correlation_break,0.0,True,,,22,,,
ks_max_thinned,gradual_shift,0.5,True,,,22,,,
ks_max_thinned,gradual_shift,1.0,True,,,22,,,
ks_max_thinned,gradual_shift,2.0,True,,,22,,,
ks_max_thinned,gradual_shift,4.0,True,,,22,,,
ks_max_thinned,incremental_shift,0.5,True,,,22,,,
ks_max_thinned,incremental_shift,1.0,True,,,22,,,
ks_max_thinned,incremental_shift,2.0,True,,,22,,,
ks_max_thinned,incremental_shift,4.0,True,,,22,,,
ks_max_thinned,sudden_shift,0.5,True,,,22,,,
ks_max_thinned,sudden_shift,1.0,True,,,22,,,
ks_max_thinned,sudden_shift,2.0,True,,,22,,,
ks_max_thinned,sudden_shift,4.0,True,,,22,,,
ks_max_thinned,variance_shift,0.5,True,,,22,,,
ks_max_thinned,variance_shift,1.0,True,,,22,,,
ks_max_thinned,variance_shift,2.0,True,,,22,,,
ks_max_thinned,variance_shift,4.0,True,,,22,,,
pca_recon,correlation_break,0.0,False,125.666438,0.0947,22,0.1818,0.0455,0.3636
