detector,scenario,magnitude,n_streams,n_machines,bootstrap_draws,auc,auc_lo,auc_hi,policy
c2st,correlation_break,0.0,22,11,2000,0.5433,0.4352,0.6495,fixed
c2st,gradual_shift,2.0,22,11,2000,0.8276,0.7446,0.8958,fixed
c2st,incremental_shift,2.0,22,11,2000,0.8865,0.787,0.9636,fixed
c2st,sudden_shift,2.0,22,11,2000,0.8979,0.8005,0.972,fixed
c2st,variance_shift,2.0,22,11,2000,0.7735,0.683,0.8589,fixed
ks_max,correlation_break,0.0,22,11,2000,0.5277,0.4288,0.6241,fixed
ks_max,gradual_shift,2.0,22,11,2000,0.8134,0.7412,0.8794,fixed
ks_max,incremental_shift,2.0,22,11,2000,0.7861,0.7129,0.8618,fixed
ks_max,sudden_shift,2.0,22,11,2000,0.9154,0.8612,0.9642,fixed
ks_max,variance_shift,2.0,22,11,2000,0.784,0.6867,0.8777,fixed
pca_recon,correlation_break,0.0,22,11,2000,0.8906,0.8261,0.9458,fixed
pca_recon,gradual_shift,2.0,22,11,2000,0.9205,0.8738,0.9602,fixed
pca_recon,incremental_shift,2.0,22,11,2000,0.8732,0.8168,0.9265,fixed
pca_recon,sudden_shift,2.0,22,11,2000,0.9154,0.8665,0.9574,fixed
pca_recon,variance_shift,2.0,22,11,2000,0.9077,0.8525,0.9541,fixed
c2st,correlation_break,0.0,22,11,2000,0.5433,0.4352,0.6495,reset_on_alarm
c2st,gradual_shift,2.0,22,11,2000,0.8276,0.7446,0.8958,reset_on_alarm
c2st,incremental_shift,2.0,22,11,2000,0.8865,0.787,0.9636,reset_on_alarm
c2st,sudden_shift,2.0,22,11,2000,0.8979,0.8005,0.972,reset_on_alarm
c2st,variance_shift,2.0,22,11,2000,0.7735,0.683,0.8589,reset_on_alarm
ks_max,correlation_break,0.0,22,11,2000,0.5277,0.4288,0.6241,reset_on_alarm
ks_max,gradual_shift,2.0,22,11,2000,0.8134,0.7412,0.8794,reset_on_alarm
ks_max,incremental_shift,2.0,22,11,2000,0.7861,0.7129,0.8618,reset_on_alarm
ks_max,sudden_shift,2.0,22,11,2000,0.9154,0.8612,0.9642,reset_on_alarm
ks_max,variance_shift,2.0,22,11,2000,0.784,0.6867,0.8777,reset_on_alarm
pca_recon,correlation_break,0.0,22,11,2000,0.8906,0.8261,0.9458,reset_on_alarm
pca_recon,gradual_shift,2.0,22,11,2000,0.9205,0.8738,0.9602,reset_on_alarm
pca_recon,incremental_shift,2.0,22,11,2000,0.8732,0.8168,0.9265,reset_on_alarm
pca_recon,sudden_shift,2.0,22,11,2000,0.9154,0.8665,0.9574,reset_on_alarm
pca_recon,variance_shift,2.0,22,11,2000,0.9077,0.8525,0.9541,reset_on_alarm
c2st,correlation_break,0.0,22,11,2000,0.4523,0.3939,0.5085,sliding
c2st,gradual_shift,2.0,22,11,2000,0.6804,0.6313,0.7238,sliding
c2st,incremental_shift,2.0,22,11,2000,0.9198,0.8543,0.9714,sliding
c2st,sudden_shift,2.0,22,11,2000,0.7431,0.6702,0.8087,sliding
c2st,variance_shift,2.0,22,11,2000,0.6183,0.5574,0.6772,sliding
ks_max,correlation_break,0.0,22,11,2000,0.4417,0.3744,0.5049,sliding
ks_max,gradual_shift,2.0,22,11,2000,0.7459,0.6822,0.8107,sliding
ks_max,incremental_shift,2.0,22,11,2000,0.9039,0.8588,0.946,sliding
ks_max,sudden_shift,2.0,22,11,2000,0.7577,0.6982,0.8134,sliding
ks_max,variance_shift,2.0,22,11,2000,0.6878,0.6211,0.75,sliding
pca_recon,correlation_break,0.0,22,11,2000,0.6976,0.6378,0.7547,sliding
pca_recon,gradual_shift,2.0,22,11,2000,0.6636,0.6049,0.7228,sliding
pca_recon,incremental_shift,2.0,22,11,2000,0.8093,0.749,0.8636,sliding
pca_recon,sudden_shift,2.0,22,11,2000,0.6542,0.5873,0.7163,sliding
pca_recon,variance_shift,2.0,22,11,2000,0.7216,0.6759,0.7638,sliding
