scenario,magnitude,detector,baseline,recall,baseline_recall,verdict
correlation_break,0.0,c2st,ks_max,0.409,0.5,inconclusive
correlation_break,0.0,c2st_thinned,ks_max,0.409,0.5,inconclusive
correlation_break,0.0,iforest_mean,ks_max,0.636,0.5,inconclusive
correlation_break,0.0,js_max,ks_max,0.545,0.5,inconclusive
correlation_break,0.0,js_max_thinned,ks_max,0.364,0.5,inconclusive
correlation_break,0.0,ks_bonferroni,ks_max,0.0,0.5,worse
correlation_break,0.0,ks_max_thinned,ks_max,0.5,0.5,inconclusive
correlation_break,0.0,pca_recon,ks_max,0.727,0.5,inconclusive
correlation_break,0.0,psi_max,ks_max,0.727,0.5,inconclusive
correlation_break,0.0,psi_max_thinned,ks_max,0.409,0.5,inconclusive
correlation_break,0.0,random,ks_max,0.455,0.5,inconclusive
correlation_break,0.0,wasserstein_max,ks_max,0.636,0.5,inconclusive
correlation_break,0.0,wasserstein_max_thinned,ks_max,0.591,0.5,inconclusive
gradual_shift,0.5,c2st,ks_max,0.682,0.727,inconclusive
gradual_shift,0.5,c2st_thinned,ks_max,0.682,0.727,inconclusive
gradual_shift,0.5,iforest_mean,ks_max,0.727,0.727,inconclusive
gradual_shift,0.5,js_max,ks_max,0.545,0.727,inconclusive
gradual_shift,0.5,js_max_thinned,ks_max,0.773,0.727,inconclusive
gradual_shift,0.5,ks_bonferroni,ks_max,0.0,0.727,worse
gradual_shift,0.5,ks_max_thinned,ks_max,0.727,0.727,inconclusive
gradual_shift,0.5,pca_recon,ks_max,0.636,0.727,inconclusive
gradual_shift,0.5,psi_max,ks_max,0.682,0.727,inconclusive
gradual_shift,0.5,psi_max_thinned,ks_max,0.682,0.727,inconclusive
gradual_shift,0.5,random,ks_max,0.455,0.727,inconclusive
gradual_shift,0.5,wasserstein_max,ks_max,0.591,0.727,inconclusive
gradual_shift,0.5,wasserstein_max_thinned,ks_max,0.682,0.727,inconclusive
gradual_shift,1.0,c2st,ks_max,0.727,0.773,inconclusive
gradual_shift,1.0,c2st_thinned,ks_max,0.727,0.773,inconclusive
gradual_shift,1.0,iforest_mean,ks_max,0.909,0.773,inconclusive
gradual_shift,1.0,js_max,ks_max,0.682,0.773,inconclusive
gradual_shift,1.0,js_max_thinned,ks_max,0.818,0.773,inconclusive
gradual_shift,1.0,ks_bonferroni,ks_max,0.0,0.773,worse
gradual_shift,1.0,ks_max_thinned,ks_max,0.773,0.773,inconclusive
gradual_shift,1.0,pca_recon,ks_max,0.727,0.773,inconclusive
gradual_shift,1.0,psi_max,ks_max,0.818,0.773,inconclusive
gradual_shift,1.0,psi_max_thinned,ks_max,0.591,0.773,inconclusive
gradual_shift,1.0,random,ks_max,0.5,0.773,inconclusive
gradual_shift,1.0,wasserstein_max,ks_max,0.636,0.773,inconclusive
gradual_shift,1.0,wasserstein_max_thinned,ks_max,0.682,0.773,inconclusive
gradual_shift,2.0,c2st,ks_max,0.727,0.773,inconclusive
gradual_shift,2.0,c2st_thinned,ks_max,0.773,0.773,inconclusive
gradual_shift,2.0,iforest_mean,ks_max,0.955,0.773,inconclusive
gradual_shift,2.0,js_max,ks_max,0.682,0.773,inconclusive
gradual_shift,2.0,js_max_thinned,ks_max,0.864,0.773,inconclusive
gradual_shift,2.0,ks_bonferroni,ks_max,0.0,0.773,worse
gradual_shift,2.0,ks_max_thinned,ks_max,0.727,0.773,inconclusive
gradual_shift,2.0,pca_recon,ks_max,0.727,0.773,inconclusive
gradual_shift,2.0,psi_max,ks_max,0.682,0.773,inconclusive
gradual_shift,2.0,psi_max_thinned,ks_max,0.591,0.773,inconclusive
gradual_shift,2.0,random,ks_max,0.682,0.773,inconclusive
gradual_shift,2.0,wasserstein_max,ks_max,0.545,0.773,inconclusive
gradual_shift,2.0,wasserstein_max_thinned,ks_max,0.591,0.773,inconclusive
gradual_shift,4.0,c2st,ks_max,0.727,0.818,inconclusive
gradual_shift,4.0,c2st_thinned,ks_max,0.818,0.818,inconclusive
gradual_shift,4.0,iforest_mean,ks_max,1.0,0.818,better
gradual_shift,4.0,js_max,ks_max,0.864,0.818,inconclusive
gradual_shift,4.0,js_max_thinned,ks_max,0.864,0.818,inconclusive
gradual_shift,4.0,ks_bonferroni,ks_max,0.0,0.818,worse
gradual_shift,4.0,ks_max_thinned,ks_max,0.818,0.818,inconclusive
gradual_shift,4.0,pca_recon,ks_max,0.818,0.818,inconclusive
gradual_shift,4.0,psi_max,ks_max,0.773,0.818,inconclusive
gradual_shift,4.0,psi_max_thinned,ks_max,0.864,0.818,inconclusive
gradual_shift,4.0,random,ks_max,0.5,0.818,inconclusive
gradual_shift,4.0,wasserstein_max,ks_max,0.864,0.818,inconclusive
gradual_shift,4.0,wasserstein_max_thinned,ks_max,0.818,0.818,inconclusive
incremental_shift,0.5,c2st,ks_max,0.727,0.818,inconclusive
incremental_shift,0.5,c2st_thinned,ks_max,0.727,0.818,inconclusive
incremental_shift,0.5,iforest_mean,ks_max,0.636,0.818,inconclusive
