machine,detector,policy,value,achieved_alarms_per_window
machine-1-1,c2st,fixed,0.9865433624990498,0.125
machine-1-1,c2st_thinned,fixed,0.9000000000000001,0.125
machine-1-1,iforest_mean,fixed,0.0486050827766743,0.125
machine-1-1,js_max,fixed,0.875055708638139,0.125
machine-1-1,js_max_thinned,fixed,0.9999999763854688,0.125
machine-1-1,ks_bonferroni,fixed,10.0,0.0
machine-1-1,ks_max,fixed,0.8555,0.125
machine-1-1,ks_max_thinned,fixed,0.875,0.08333333333333333
machine-1-1,pca_recon,fixed,1.9956366056663088,0.125
machine-1-1,psi_max,fixed,17.866323378928687,0.125
machine-1-1,psi_max_thinned,fixed,21.14696355784102,0.0625
machine-1-1,random,fixed,0.8208991567235296,0.125
machine-1-1,wasserstein_max,fixed,3.083826575373943,0.125
machine-1-1,wasserstein_max_thinned,fixed,3.749489728784098,0.125
machine-1-2,c2st,fixed,1.0,0.0
machine-1-2,c2st_thinned,fixed,0.9998771196854266,0.125
machine-1-2,iforest_mean,fixed,0.024126709252441036,0.125
machine-1-2,js_max,fixed,0.7822568817648246,0.08333333333333333
machine-1-2,js_max_thinned,fixed,0.8394307109175279,0.125
machine-1-2,ks_bonferroni,fixed,10.0,0.0
machine-1-2,ks_max,fixed,1.0,0.0
machine-1-2,ks_max_thinned,fixed,1.0,0.0
machine-1-2,pca_recon,fixed,1.7966515383665396,0.125
machine-1-2,psi_max,fixed,17.441482329566803,0.08333333333333333
machine-1-2,psi_max_thinned,fixed,17.461034412698876,0.08333333333333333
machine-1-2,random,fixed,0.8865740499153515,0.125
machine-1-2,wasserstein_max,fixed,4.804271482621089,0.125
machine-1-2,wasserstein_max_thinned,fixed,4.808355892704249,0.125
machine-1-3,c2st,fixed,0.9999959993238858,0.125
machine-1-3,c2st_thinned,fixed,0.7407407407407409,0.10416666666666667
machine-1-3,iforest_mean,fixed,0.009831399366013738,0.125
machine-1-3,js_max,fixed,0.47733954093772896,0.125
machine-1-3,js_max_thinned,fixed,0.7745114262348678,0.125
machine-1-3,ks_bonferroni,fixed,10.0,0.0
machine-1-3,ks_max,fixed,0.58845,0.125
machine-1-3,ks_max_thinned,fixed,0.67,0.125
machine-1-3,pca_recon,fixed,2.7045342396111933,0.125
machine-1-3,psi_max,fixed,9.841598196538898,0.125
machine-1-3,psi_max_thinned,fixed,15.614411831131942,0.125
machine-1-3,random,fixed,0.9157359615040432,0.125
machine-1-3,wasserstein_max,fixed,1.7844162572691442,0.125
machine-1-3,wasserstein_max_thinned,fixed,2.040858172818359,0.125
machine-1-4,c2st,fixed,1.0,0.0
machine-1-4,c2st_thinned,fixed,0.875,0.125
machine-1-4,iforest_mean,fixed,0.018230461629134387,0.125
machine-1-4,js_max,fixed,0.5102545587654919,0.125
machine-1-4,js_max_thinned,fixed,0.6644650139384405,0.125
machine-1-4,ks_bonferroni,fixed,10.0,0.0
machine-1-4,ks_max,fixed,0.64235,0.125
machine-1-4,ks_max_thinned,fixed,0.715,0.08333333333333333
machine-1-4,pca_recon,fixed,3.666093732132689,0.125
machine-1-4,psi_max,fixed,9.967279975604123,0.125
machine-1-4,psi_max_thinned,fixed,14.93899345565168,0.125
machine-1-4,random,fixed,0.8948856876686293,0.125
machine-1-4,wasserstein_max,fixed,2.020970913921985,0.125
machine-1-4,wasserstein_max_thinned,fixed,2.2166212929782425,0.125
machine-1-5,c2st,fixed,0.9949036738351253,0.125
machine-1-5,c2st_thinned,fixed,0.9649122807017545,0.125
machine-1-5,iforest_mean,fixed,0.034420559271375606,0.125
machine-1-5,js_max,fixed,0.6923123987923641,0.125
machine-1-5,js_max_thinned,fixed,0.6979137899567801,0.125
machine-1-5,ks_bonferroni,fixed,10.0,0.0
machine-1-5,ks_max,fixed,0.7957500000000001,0.125
machine-1-5,ks_max_thinned,fixed,0.8050108932461874,0.10416666666666667
machine-1-5,pca_recon,fixed,2.147167798923204,0.125
machine-1-5,psi_max,fixed,16.25109610710406,0.125
machine-1-5,psi_max_thinned,fixed,16.26038215659361,0.08333333333333333
machine-1-5,random,fixed,0.9168742203229983,0.125
machine-1-5,wasserstein_max,fixed,2.685054101810559,0.125
machine-1-5,wasserstein_max_thinned,fixed,2.699129713381836,0.125
machine-1-6,c2st,fixed,0.999989999359959,0.125
machine-1-6,c2st_thinned,fixed,0.8666666666666667,0.125
machine-1-6,iforest_mean,fixed,0.02102596964868897,0.125
machine-1-6,js_max,fixed,0.8665841132382099,0.125
machine-1-6,js_max_thinned,fixed,0.8564294208482188,0.125
machine-1-6,ks_bonferroni,fixed,10.0,0.0
machine-1-6,ks_max,fixed,0.9724499999999999,0.125
machine-1-6,ks_max_thinned,fixed,0.9642857142857143,0.125
machine-1-6,pca_recon,fixed,3.6292647950486923,0.125
machine-1-6,psi_max,fixed,20.625301282187543,0.125
machine-1-6,psi_max_thinned,fixed,20.50087186765659,0.125
machine-1-6,random,fixed,0.8749533821335245,0.125
machine-1-6,wasserstein_max,fixed,2.480547593613508,0.125
machine-1-6,wasserstein_max_thinned,fixed,30.622162147920083,0.125
machine-1-7,c2st,fixed,0.9999139996559987,0.125
machine-1-7,c2st_thinned,fixed,1.0,0.0
machine-1-7,iforest_mean,fixed,0.019445274678745794,0.125
machine-1-7,js_max,fixed,0.5777662917828226,0.125
machine-1-7,js_max_thinned,fixed,0.7024389496652066,0.125
machine-1-7,ks_bonferroni,fixed,10.0,0.0
machine-1-7,ks_max,fixed,0.7494999999999999,0.125
machine-1-7,ks_max_thinned,fixed,0.84,0.0625
machine-1-7,pca_recon,fixed,3.708719094541349,0.125
